CD;TRAFO;SUBESTACION;LINEA_MT;FABRICANTE;MODELO;NUM_SERIE;AÑO;POTENCIA;UNIDAD_MEDIDA;STATO_MAT;LATITUD;LONGITUD;NOTAS;GRUPO;NUMERO
201;TR1;MIRAFLOR;S_ANTON;OASA;250/24/10-20(400)VO-PA;12794;1972;250;kVA;E;36.73112967;-4.361444268;1 Trafo;resi2;1
2274;TR1;SRAFAEL;TIROPICHON;IMEFY;1000I/24/20B2O-PE-GE-FND001;105801;2011;1000;kVA;E;36.70937527;-4.454017011;1 Trafo;resi;2
242;TR1;MONTES;PI_LIMONAR;OASA;630I/24/20B2O-PA-GE-FND001;29822;1988;630;kVA;E;36.72096715;-4.402892186;1 Trafo;resi;2
286;TR1;MIRAFLOR;LA_CERDA;ORMAZABAL;1000I/24/20B2O-PE-GE-FND001;242584;2015;1000;kVA;E;36.72787923;-4.37128178;1 Trafo;resi2;1
287;TR1;MONTES;PQ_CLAVERO;DIESTRE;630CA/24/20B2O-PA;48035;1989;630;kVA;E;36.72631026;-4.381495361;1 Trafo;resi2;1
406;TR1;PERCHEL;MUELLE_UNO;DIESTRE;630CA/24/20B2O-PA;48034;1989;630;kVA;E;36.71926536;-4.407921545;1 Trafo;resi;2
480;TR1;PERCHEL;HOTEL.;INCOESA;630I/24/20B2O-PE-GE-FND001;153597;2006;630;kVA;E;36.71989436;-4.423080293;1 Trafo;mixta;3
499;TR1;CENTRO;S_BARTOLOM;GEDELSA;630I/24/20B2O-PA-GE-FND001;29645;1900;630;kVA;E;36.72767029;-4.423206077;1 Trafo;resi;2
531;TR1;CIUDAD_J;MEDITERRAN;ALKARGO;630I/24/20B2O-PA-GE-FND001;29921;1982;630;kVA;E;36.73275141;-4.422138893;1 Trafo;resi;2
612;TR1;CIUDAD_J;LA_PALMA.;INCOESA;630I/24/20B2O-PA-GE-FND001;136555;2003;630;kVA;E;36.73947438;-4.43393217;1 Trafo;resi;2
68638;TR1;RAMOS;PUENTE.;IMEFY;630I/24/20B2O-PA-GE-FND001;44373;2001;630;kVA;E;36.72622993;-4.477380426;2 Trafos;resi2;1
7116;TR1;SRAFAEL;DUENDE;ABB;400I/24/20B2O-PA-GE-FND001;308910;2000;400;kVA;E;36.7094919;-4.464695815;2 Trafos;indus;4
733;TR1;SECUNDAR;FELIX_SAEN;IMEFY;630I/24/20B2O-PA-GE-FND001;62076;2005;630;kVA;E;36.71753734;-4.425379271;1 Trafo;resi;2
740;TR1;SECUNDAR;POLIGONO1;JARA;630I/24/20(400)VO-PA;24723;2002;630;kVA;E;36.71841364;-4.438550471;1 Trafo;resi;2
744;TR1;PERCHEL;ALMANSA;CEE;630CA/24/20(400)VO-PA;254207;1989;630;kVA;E;36.71863324;-4.43251387;2 Trafos;mixta;3
76020;TR1;PERCHEL;HOTEL.;INCOESA;1000I/24/20B2O-PA-GE-FND001;140161;2004;1000;kVA;E;36.72042988;-4.421984346;2 Trafos;mixta;3
813;TR1;SECUNDAR;MONTILLA.;ORMAZABAL;400I/24/20B2O-PE-GE-FND001;253303;2016;400;kVA;E;36.70869402;-4.440802337;1 Trafo;resi;2
820;TR1;SECUNDAR;S_A_VERS;ALKARGO;630I/24/20(400)VO-PA;29924;1992;630;kVA;E;36.71325087;-4.439646949;2 Trafos;resi;2
850;TR1;S_SEBAST;MISERICORD;DIESTRE;630CA/24/20B2O-PA;44504;1987;630;kVA;E;36.69947612;-4.448194263;2 Trafos;resi;2
868;TR1;POLIGONO;GUAD_HOR_2;MACE;400I/24/20B2O-PE-GE-FND001;27799;2008;400;kVA;E;36.68826906;-4.478807804;1 Trafo;indus;4
